,book_name,Ganer,rating,rating_count,pages,price,Author
33,Pig the Fibber Boxed Set,"Picture Books, Childrens Fiction",4.13,1068,24,131.16,Aaron Blabey
34,Sunday Chutney,"Picture Books, Childrens Fiction",3.91,309,32,46.89,Aaron Blabey
38,The Bad Guys in Dawn of the Underlord (the Bad Guys #11) : Volume 11,"Graphic Novel & Manga Artwork, Adventure Books for Kids, Animal Stories, Funny Books for Kids",4.31,1511,192,41.20,Aaron Blabey
39,Dawn of the Underlord (the Bad Guys: Episode 11),"Childrens Books, Funny Books for Kids",4.31,1466,192,87.53,Aaron Blabey
40,The Bad Guys in The Big Bad Wolf (The Bad Guys #9) / pd.,"Graphic Novel & Manga Artwork, Adventure Books for Kids, Animal Stories, Funny Books for Kids",4.36,2445,144,37.33,Aaron Blabey
41,The Bad Guys in the One?! (the Bad Guys #12) : Volume 12,"Graphic Novel & Manga Artwork, Adventure Books for Kids, Animal Stories, Funny Books for Kids",4.34,1175,192,41.20,Aaron Blabey
42,Piranhas Don't Eat Bananas with Mask,"Picture Books, Childrens Fiction, Funny Books for Kids",4.18,1534,24,89.44,Aaron Blabey
43,The Bad Guys: Episode 1,Adventure Books for Kids,4.2,12919,144,37.84,Aaron Blabey
45,"BAD GUYS, THE / VOL. 4. ATTACK OF THE ZITTENS","Graphic Novel & Manga Artwork, Adventure Books for Kids, Animal Stories, Funny Books for Kids",4.36,4135,139,37.84,Aaron Blabey
46,"BAD GUYS, THE / VOL. 5. INTERGALACTIC GAS","Graphic Novel & Manga Artwork, Childrens Fiction, Adventure Books for Kids, Animal Stories, Funny Books for Kids",4.4,3590,144,37.00,Aaron Blabey
48,Thelma the Unicorn,"Picture Books, Storybooks, Childrens Fiction",4.2,2096,28,143.82,Aaron Blabey
49,The Bad Guys in Alien Vs Bad Guys (the Bad Guys #6) : Volume 6,"Graphic Novel & Manga Artwork, Adventure Books for Kids, Animal Stories, Funny Books for Kids",4.41,3249,144,37.84,Aaron Blabey
50,The Bad Guys in Do-You-Think-He-Saurus?!: Special Edition (the Bad Guys #7) : Volume 7,"Graphic Novel & Manga Artwork, Adventure Books for Kids, Sci Fi Books for Kids, Fantasy Books for Kids, Animal Stories, Funny Books for Kids",4.39,2788,176,46.93,Aaron Blabey
51,"BAD GUYS, THE / VOL. 3. THE FURBALL STRIKES BACK","Graphic Novel & Manga Artwork, Adventure Books for Kids, Animal Stories, Funny Books for Kids",4.37,4462,138,36.66,Aaron Blabey
52,Mission Unpluckable (the Bad Guys: Episode 2),"Adventure Books for Kids, Funny Books for Kids",4.35,5783,144,87.53,Aaron Blabey
54,"BAD GUYS, THE / VOL. 2. MISSION UNPLUCKABLE","Graphic Novel & Manga Artwork, Childrens Fiction, Childrens General Story Books, Adventure Books for Kids, Animal Stories, Funny Books for Kids",4.35,5800,138,37.84,Aaron Blabey
55,Pig the Stinker,"Childrens Fiction, Childrens General Story Books, Animal Stories, Funny Books for Kids, Childrens Health Books",4.07,988,32,68.49,Aaron Blabey
56,The One?! (the Bad Guys: Episode 12),"Childrens Books, Funny Books for Kids",4.34,1175,192,87.53,Aaron Blabey
57,The Bad Guys: Episode 15: Open Wide and Say Arrrgh!,Funny Books for Kids,4.24,475,192,87.53,Aaron Blabey
59,Cut to the Chase (the Bad Guys: Episode 13),"Childrens Books, Funny Books for Kids",4.29,926,192,87.53,Aaron Blabey
60,The Bad Guys Colour Edition,"Graphic Novels, Anime & Manga, Graphic Novels, Funny Books & Stories, Characters, Childrens Fiction, Childrens General Story Books, Adventure Books for Kids, Mystery Books for Kids, Animal Stories, Funny Books for Kids, Television & Film, Cartoons",4.2,13213,144,45.18,Aaron Blabey
62,Piranhas Don't Eat Bananas,"Funny Books & Stories, Storybooks, Childrens Fiction, Childrens General Story Books, Animal Stories, Funny Books for Kids",4.18,1534,24,68.49,Aaron Blabey
63,Los Tipos Malos (the Bad Guys) : Volume 1,"Adventure Books for Kids, Animal Stories, Funny Books for Kids",4.2,13213,144,37.14,Aaron Blabey
64,Pig the Monster,"Poetry Books for Kids, Childrens Fiction, Childrens General Story Books, Animal Stories, Funny Books for Kids, People & Places",3.91,594,32,68.49,Aaron Blabey
65,Los Tipos Malos En El Ataque de Los Zombigatitos (Bad Guys in Attack of the Zittens) : Volume 4,"Adventure Books for Kids, Animal Stories, Funny Books for Kids",4.36,4135,144,38.03,Aaron Blabey
66,Los Tipos Malos En Mision Improbable (the Bad Guys in Mission Unpluckable) : Volume 2,"Adventure Books for Kids, Family, Animal Stories, Funny Books for Kids, Family Issues",4.35,5683,144,37.62,Aaron Blabey
67,They're Bee-Hind You! : (The Bad Guys Episode 14),"Childrens Books, Funny Books for Kids",4.28,829,192,87.53,Aaron Blabey
68,Los Tipos Malos En El Conejillo Contraataca (the Bad Guys in the Furball Strikes Back) : Volume 3,"Adventure Books for Kids, Animal Stories, Funny Books for Kids",4.37,4462,144,37.42,Aaron Blabey
69,I Need a Hug / Necesito Un Abrazo (Bilingual),"Childrens Fiction, Childrens General Story Books, Animal Stories, Self-Esteem, Relationships",3.98,1408,32,33.84,Aaron Blabey
70,Los Tipos Malos En Combustible Intergalactico (the Bad Guys in Intergalactic Gas) : Volume 5,"Adventure Books for Kids, Animal Stories, Funny Books for Kids",4.4,3521,144,37.14,Aaron Blabey
71,Los Tipos Malos En El Alienigena Vs Los Tipos Malos (the Bad Guys in Alien Vs Bad Guys) : Volume 6,"Adventure Books for Kids, Animal Stories, Funny Books for Kids",4.41,3132,144,37.14,Aaron Blabey
72,Los Tipos Malos En !?Ustedes-Creen-Que-El-Saurio?! (the Bad Guys in Do-You-Think-He-Saurus?!) : Volume 7,"Adventure Books for Kids, Animal Stories, Funny Books for Kids",4.39,2732,176,43.94,Aaron Blabey
73,Pig the Rebel (Pig the Pug),"Animal Stories, Funny Books for Kids, School Stories",4.17,231,32,68.49,Aaron Blabey
74,Los Tipos Malos en Supermalos (The Bad Guys In Superbad),"Childrens General Story Books, Adventure Books for Kids, Animal Stories, Funny Books for Kids, English Language: Reading Schemes",4.39,2496,144,39.75,Aaron Blabey
76,Pig the Elf Plus Wrapping Paper and Gift Tags,Funny Books for Kids,3.96,1186,24,89.44,Aaron Blabey
78,Böse Jungs,"Childrens Fiction, Childrens General Story Books, Animal Stories, Funny Books for Kids",4.2,13213,137,52.01,Aaron Blabey
79,Böse Jungs 2  Mission Unmöglich,"Childrens Fiction, Childrens General Story Books, Adventure Books for Kids, Funny Books for Kids",4.35,5683,138,58.02,Aaron Blabey
80,Pearl Barley and Charlie Parsley,"Picture Books, Childrens Fiction, Childrens General Story Books",4.02,457,32,53.38,Aaron Blabey
81,Chancho el Pug,"Childrens Fiction, Childrens General Story Books, Family, Animal Stories, Funny Books for Kids, Society & Social Issues",4.16,3444,32,33.84,Aaron Blabey
82,Los Tipos Malos en el Gran Lobo Feroz,"Graphic Novel & Manga Artwork, Graphic Novels, Anime & Manga, Adventure Books for Kids, Animal Stories, Funny Books for Kids",4.36,2351,144,37.42,Aaron Blabey
83,Chancho El Mentiroso (Pig the Fibber),"Childrens Fiction, Animal Stories, Funny Books for Kids",4.13,1068,32,38.32,Aaron Blabey
85,Telma El Unicornio,"Picture Books, Childrens Fiction, Childrens General Story Books, Animal Stories, Funny Books for Kids, English Language: Reading Schemes, Self-Esteem, Relationships",4.2,2086,40,98.50,Aaron Blabey
86,Los Tipos Malos En El Peor Dia del Mundo (the Bad Guys in the Baddest Day Ever),"Adventure Books for Kids, Animal Stories, Funny Books for Kids",4.43,2125,176,38.28,Aaron Blabey
87,Animalotes 2. Misión implumable,"Childrens Fiction, Graphic Novels, English Language: Reading Schemes",4.35,5683,144,65.61,Aaron Blabey
88,Don't Call Me Bear!,"Animal Stories, Funny Books for Kids",3.92,890,32,66.45,Aaron Blabey
89,The Bad Guys Episode 2: Mission Unpluckable,Adventure Books for Kids,4.35,5683,144,36.66,Aaron Blabey
90,Böse Jungs 3  - Dr. Marmelade schlägt zurück,"Childrens Fiction, Childrens General Story Books, Adventure Books for Kids, Funny Books for Kids, Cartoons",4.37,4462,137,52.02,Aaron Blabey
91,Chancho el Campeon,"Poetry Books for Kids, Childrens Fiction, Childrens General Story Books, Animal Stories, Funny Books for Kids, Ballet & Dance, Farm Animals, Society & Social Issues, Relationships",4.02,1249,32,33.84,Aaron Blabey
92,Bad Guys in Superbad,"Adventure Books for Kids, Animal Stories, Funny Books for Kids",4.39,2556,144,69.20,Aaron Blabey
93,Bad Guys Ekipa Złych Odcinek 1,Home,4.2,13213,144,42.21,Aaron Blabey
94,Las Piranas No Comen Bananas,"Picture Books, Animal Stories, Funny Books for Kids, English Language: Reading Schemes",4.18,1534,28,93.63,Aaron Blabey
95,The Bad Guys: Episode 1: Full Colour Edition,"Animal Stories, Non-Fiction",4.2,13213,144,94.13,Aaron Blabey
96,Necesito un abrazo,"Picture Books, Childrens Fiction, English Language: Reading Schemes",3.91,584,32,81.64,Aaron Blabey
97,Chancho la Estrella,"Childrens Fiction, Childrens General Story Books, Animal Stories, Funny Books for Kids, Relationships",4.06,872,32,33.84,Aaron Blabey
101,Pig the Pug with Mask,"Picture Books, Childrens Fiction",4.16,3444,24,89.44,Aaron Blabey
103,Os Mauzões - Episódio 3: O Bola de Pelo Contra-Ataca,Home,4.37,4462,144,69.70,Aaron Blabey
105,The Bad Guys 4: Attack of the Zittens,"Childrens Fiction, Childrens General Story Books, Funny Books for Kids",4.2,13213,144,53.67,Aaron Blabey
106,The Bad Guys 3,"Adventure Books for Kids, Funny Books for Kids",4.37,4462,144,83.97,Aaron Blabey
107,Coco el perro,"Picture & Activity Books, Picture Books, English Language: Reading Schemes",4.16,3444,32,85.01,Aaron Blabey
109,Pig the Sar,Traditional,4.06,872,24,79.49,Aaron Blabey
110,Mops Klops,Home,4.16,3444,40,104.89,Aaron Blabey
111,Telma l'unicorn,"Picture Books, Childrens Fiction, Adventure Books for Kids",4.2,2096,32,85.96,Aaron Blabey
113,The Bad Guys. Puppies Silence Episode 2018: Bad Guys. Puppies Silence Episode,"Graphic Novels, Anime & Manga, Graphic Novels, Childrens General Story Books, Adventure Books for Kids",4.2,13213,144,33.50,Aaron Blabey
115,Os Mauzões - Episódio 1,Home,4.2,13213,144,69.70,Aaron Blabey
116,Coco el elfo,"Picture & Activity Books, Picture Books, Animal Stories, School Stories",3.96,1186,28,97.15,Aaron Blabey
117,Bad Guys Ekipa Złych Odcinek 3 Futrzak kontratakuje,Home,4.37,4462,144,42.21,Aaron Blabey
118,Chancho El Rebelde (Pig the Rebel),"Animal Stories, Funny Books for Kids, School Stories",4.16,241,32,46.24,Aaron Blabey
119,Os Mauzões - Episódio 2,Home,4.35,5683,144,69.70,Aaron Blabey
120,Bad Guys in Alien Vs Bad Guys,"Adventure Books for Kids, Animal Stories, Funny Books for Kids",4.41,3193,144,68.32,Aaron Blabey
121,The Bad Guys,"Adventure Books for Kids, Funny Books for Kids",4.2,13213,148,59.72,Aaron Blabey
122,"The Bad Guys. Episode ""Don't lose a feather"" 2018: Bad Guys. Episode ""Don't lose a feather""","Graphic Novels, Anime & Manga, Graphic Novels, Childrens General Story Books, Adventure Books for Kids",4.35,5683,144,33.50,Aaron Blabey
123,Pig the Elf with Reward Chart and Stickers,"Picture Books, Childrens Fiction",3.96,1186,24,68.49,Aaron Blabey
124,Pig the Pug Big Book,"Picture Books, Childrens Fiction",4.16,3444,24,68.49,Aaron Blabey
125,Os Mauzões - Episódio 4: O Ataque dos Zatinhos,Home,4.36,4135,144,104.89,Aaron Blabey
127,Bad Guys Ekipa Złych Odcinek 2,Home,4.35,5683,140,104.89,Aaron Blabey
128,Carlos Le Carlin,"Animal Stories, Funny Books for Kids",4.16,3444,24,101.85,Aaron Blabey
129,Les Mechants: N Degrees 9 - Grand Mechant Loup,"Adventure Books for Kids, Animal Stories, Funny Books for Kids",4.36,2403,144,101.91,Aaron Blabey
130,Les Piranhas Ne Mangent Pas d'Ananas,"Childrens Fiction, Childrens General Story Books, Animal Stories, Funny Books for Kids, Food & Cookery",4.18,1534,24,101.91,Aaron Blabey
131,OS CARAS MALVADOS 1,"Graphic Novels, Anime & Manga, Graphic Novels",4.2,13213,144,240.48,Aaron Blabey
132,Bad Guys in the Furball Strikes Back,"Adventure Books for Kids, Animal Stories, Funny Books for Kids",4.37,4543,144,68.32,Aaron Blabey
133,Pig Adinda Bir Pug,Home,4.16,3405,32,104.89,Aaron Blabey
134,Carlos Le Degueu,"Childrens Fiction, Childrens General Story Books, Animal Stories, Funny Books for Kids, Childrens Health Books",4.07,968,24,101.91,Aaron Blabey
135,Moeps die Toeris,"Picture Books, Childrens Fiction",3.92,591,32,53.22,Aaron Blabey
136,Moeps die Wenner,"Picture Books, Childrens Fiction",4.02,1249,32,53.22,Aaron Blabey
137,Carlos le Touriste,"Childrens General Story Books, Animal Stories, Funny Books for Kids, People & Places",3.92,591,24,101.91,Aaron Blabey
138,Bad Guys in Do-You-Think-He-Saurus?!,"Adventure Books for Kids, Sci Fi Books for Kids, Fantasy Books for Kids, Animal Stories, Funny Books for Kids",4.39,2732,176,69.20,Aaron Blabey
139,Carlos Le Menteur,"Childrens Fiction, Childrens General Story Books, Funny Books for Kids, Society & Social Issues, Relationships",4.13,1068,24,101.85,Aaron Blabey
140,"PIG, O CAMPEÃO",Childrens Fiction,4.02,1249,28,65.25,Aaron Blabey
141,Les Mechants: No 12 - l'Etre Elu?!,"Adventure Books for Kids, Animal Stories, Funny Books for Kids",4.34,1175,192,55.99,Aaron Blabey
142,Les Mechants: N Degrees 3 - La Vengeance Du Cochon Dingue,"Animal Stories, Funny Books for Kids",4.37,4462,144,101.91,Aaron Blabey
143,Kim Demis : Kötüyüz Diye 2 - Korkak Tavuklar,Home,4.35,5683,144,104.89,Aaron Blabey
144,Males bèsties. Episodi 4 : L'atac dels zombigats,"Graphic Novels: Literary & Memoirs, Graphic Novels: Literary & Memoirs, Childrens Fiction, Adventure Books for Kids, Graphic Novels",4.36,4135,144,58.50,Aaron Blabey
145,Pig the Elf with 2 Reward Charts and 200 Stickers,"Picture Books, Childrens Fiction",3.96,1186,24,68.49,Aaron Blabey
146,Thelma La Licorne: Le Retour,"Childrens Fiction, Fantasy Books for Kids, Animal Stories, Funny Books for Kids, Mysteries & The Supernatural (Childrens/YA), Relationships",3.91,584,28,101.91,Aaron Blabey
147,Males bèsties. Episodi 2 : Missió plumífera,"Childrens Literature Studies: General, Childrens Fiction",4.35,5683,144,40.76,Aaron Blabey
148,Les Mechants: N Degrees 5 - Gaztronautes En Mission,"Adventure Books for Kids, Family, Animal Stories, Funny Books for Kids, Family Issues",4.4,3452,144,101.91,Aaron Blabey
149,Les Mechants: N Degrees 10 - Une Mechante Journee!,"Adventure Books for Kids, Animal Stories, Funny Books for Kids",4.43,2125,176,66.82,Aaron Blabey
150,Carlos Le Tricheur,"Childrens Fiction, Childrens General Story Books, Funny Books for Kids, Society & Social Issues",4.13,1068,24,101.85,Aaron Blabey
151,OS CARAS MALVADOS 6,"Graphic Novels, Anime & Manga, Graphic Novels",4.41,3193,144,240.48,Aaron Blabey
153,Episodio 1. Animalotes,"Childrens Fiction, Graphic Novels",4.2,13213,144,119.33,Aaron Blabey
154,Bad Guys in Intergalactic Gas,"Adventure Books for Kids, Animal Stories, Funny Books for Kids",4.41,3587,144,68.32,Aaron Blabey
155,Moeps die Ster,"Picture Books, Childrens Fiction",4.06,872,32,53.22,Aaron Blabey
156,Troppo Cattivi. La vendetta della palla di pelo (Vol. 3),Home,4.37,4462,141,104.89,Aaron Blabey
157,Les Mechants,Funny Books for Kids,4.2,13213,144,41.23,Aaron Blabey
158,Bad Guys in Mission Unpluckable,"Adventure Books for Kids, Animal Stories, Funny Books for Kids",4.35,5683,144,46.93,Aaron Blabey
159,Kim Demis Kötüyüz Diye : Yasasin Iyilik,Home,4.2,13213,144,104.89,Aaron Blabey
160,Pig the Pug Pb + Jigsaw Set,"Picture Books, Drama, Television & Film",4.16,3444,24,53.22,Aaron Blabey
161,Moeps die Mops,"Picture Books, Childrens Fiction",4.16,3444,32,53.22,Aaron Blabey
162,Carlos Le Glouton,"Childrens Fiction, Childrens General Story Books, Animal Stories, Funny Books for Kids, Wildlife, Childrens Health Books",3.78,598,24,101.85,Aaron Blabey
163,Les Mechants: N Degrees 11 - Le Seigneur Des Serpents,"Adventure Books for Kids, Animal Stories, Funny Books for Kids",4.31,1466,192,66.82,Aaron Blabey
165,J'Ai Besoin d'Un Calin,"Childrens Fiction, Funny Books for Kids",3.98,1425,24,101.85,Aaron Blabey
166,Les Mechants: N Degrees 2 - Mission Im-Poule-Ssible,Funny Books for Kids,4.35,5683,144,41.23,Aaron Blabey
167,"Animalotes 3, La pelusilla contraataca","Graphic Novels: Literary & Memoirs, Graphic Novels: Literary & Memoirs, Childrens Fiction, Graphic Novels",4.37,4462,144,87.53,Aaron Blabey
168,El ataque de los gatetes,"Childrens Fiction, Funny Books for Kids, Graphic Novels, English Language: Reading Schemes",4.36,4135,144,86.31,Aaron Blabey
170,Troppo Cattivi. La notte dei gatti viventi (Vol. 4),Home,4.36,4135,143,104.89,Aaron Blabey
171,Die Bullebakke - Episode 4,Animal Stories,4.36,4135,144,42.32,Aaron Blabey
172,Les Mechants: N Degrees 4 - l'Attaque Des Miaou-Vivants,"Adventure Books for Kids, Animal Stories, Funny Books for Kids",4.36,4135,144,80.49,Aaron Blabey
173,Thelma La Licorne,"Childrens Fiction, Childrens General Story Books, Fantasy Books for Kids, Animal Stories, Funny Books for Kids, Self-Esteem",4.2,2096,28,101.91,Aaron Blabey
174,Carlos La Star,"Childrens Fiction, Childrens General Story Books, Animal Stories, Funny Books for Kids, Childrens Music Books",4.06,872,24,101.91,Aaron Blabey
175,Moeps die Skelm,"Picture Books, Childrens Fiction",4.13,1068,32,53.22,Aaron Blabey
176,Pig the Elf (with Tree Topper),"Picture Books, Childrens Fiction",3.96,1186,24,68.49,Aaron Blabey
177,The Bad Guys : Episode 8 Superbad,Funny Books for Kids,4.39,2556,144,37.33,Aaron Blabey
178,OS CARAS MALVADOS 3,"Graphic Novels, Anime & Manga, Graphic Novels",4.37,4462,144,248.51,Aaron Blabey
179,Males bèsties. Episodi 3,Childrens Fiction,4.37,4462,144,96.14,Aaron Blabey
180,Les Mechants: N Degrees 6 - l'Invasion Tentaculaire,"Childrens General Story Books, Sci Fi Books for Kids, Animal Stories, Graphic Novels",4.41,3193,144,66.82,Aaron Blabey
181,"PIG, O TRAVESSO",Childrens Fiction,4.13,1068,24,65.25,Aaron Blabey
182,OS CARAS MALVADOS 4,"Graphic Novels, Anime & Manga, Graphic Novels",4.36,4135,144,240.48,Aaron Blabey
184,Pig the Elf Plus Window Cling,"Picture Books, Childrens Fiction",3.96,1186,24,68.49,Aaron Blabey
185,Weer op het goede pad,Home,4.2,13213,144,104.89,Aaron Blabey
186,Les Mechants: N Degrees 7 - Dino-Sors-Nous-De-La!,"Adventure Books for Kids, Animal Stories, Funny Books for Kids",4.39,2732,160,42.32,Aaron Blabey
187,OS CARAS MALVADOS 2,"Graphic Novels, Anime & Manga, Graphic Novels",4.35,5683,144,240.48,Aaron Blabey
188,Pig the Tourist (Pig the Pug),"Childrens General Story Books, Animal Stories, Funny Books for Kids, People & Places",3.92,591,32,42.93,Aaron Blabey
189,Die Bullebakke - Episode 3,Animal Stories,4.37,4380,144,42.32,Aaron Blabey
190,Bad Guys,"Adventure Books for Kids, Animal Stories, Funny Books for Kids",4.2,13075,144,68.14,Aaron Blabey
191,Bad Guys in Attack of the Zittens,"Adventure Books for Kids, Animal Stories, Funny Books for Kids",4.36,4206,144,68.14,Aaron Blabey
192,Death on the Nile,"Crime, Crime Fiction",4.12,220808,7,61.48,Agatha Christie
193,Murder on the Orient Express,Anthologies (non-poetry),4.2,530457,158,55.47,Agatha Christie
194,Endless Night,"Crime, Crime Fiction",3.81,30854,245,63.09,Agatha Christie
195,A Caribbean Mystery,"Crime, Crime Fiction",3.83,36819,296,60.64,Agatha Christie
196,Marple: Twelve New Stories,"Classic Books & Novels, Crime, Crime Fiction, Vintage Crime, Short Story Books",3.85,4880,384,70.46,Agatha Christie
197,Three Act Tragedy,"Crime, Crime Fiction",3.84,32421,351,122.03,Agatha Christie
198,The Adventure of the Christmas Pudding,"Contemporary Fiction, Crime, Crime Fiction",3.77,18945,240,68.89,Agatha Christie
199,Sad Cypress,"Contemporary Fiction, Crime, Crime Fiction, Vintage Crime",3.91,32548,384,82.17,Agatha Christie
200,Dumb Witness,"Crime, Crime Fiction",3.89,32234,416,62.09,Agatha Christie
201,Hercule Poirot's Christmas,"Crime, Crime Fiction",3.98,67492,352,66.57,Agatha Christie
202,MIDSUMMER MYSTERIES: Secrets and Suspense from the Queen of Crime,"Classic Books & Novels, Crime, Crime Fiction, Vintage Crime, Thriller Books, Thrillers, Short Story Books",3.87,749,272,70.85,Agatha Christie
203,Black Coffee,"Classic Books & Novels, Crime, Crime Fiction, Vintage Crime",3.56,20284,208,54.29,Agatha Christie
204,Dead Man's Folly,"Crime, Crime Fiction, Vintage Crime",3.82,26841,271,61.41,Agatha Christie
205,The Murder of Roger Ackroyd,"Crime, Crime Fiction",4.26,224512,6,74.44,Agatha Christie
206,After the Funeral,"Crime, Crime Fiction",3.9,35429,301,159.37,Agatha Christie
207,The Mysterious Affair at Styles,"Anthologies (non-poetry), Classic Books & Novels, Crime, Crime Fiction, Thriller Books, Thrillers, Adventure Books",4,358179,152,55.47,Agatha Christie
208,The ABC Murders,"Crime, Crime Fiction",4.03,140633,256,82.17,Agatha Christie
209,Closed Casket : The New Hercule Poirot Mystery,"Crime, Crime Fiction, Historical Crime",3.59,14526,320,69.90,Agatha Christie
210,"One, Two, Buckle My Shoe","Crime, Crime Fiction, Vintage Crime, Thriller Books, Thrillers",3.77,32026,224,61.41,Agatha Christie
211,The Mystery of the Blue Train,"Contemporary Fiction, Crime, Crime Fiction",3.85,52525,399,47.09,Agatha Christie
212,Miss Marple's Final Cases,"Classic Books & Novels, Crime, Crime Fiction, Vintage Crime",3.78,8494,160,62.87,Agatha Christie
213,Partners in Crime : A Tommy & Tuppence Collection,"Crime, Crime Fiction, Vintage Crime, Thriller Books, Thrillers, Adventure Books",3.78,17608,296,47.52,Agatha Christie
214,"Come, Tell Me How You Live : Memories from Archaeological Expeditions in the Mysterious Middle East","Biography: General, Biography: Literary, Autobiography: Literary, Memoirs, Guidebooks, Classic Travel Writing",4.11,3876,304,44.92,Agatha Christie
215,Murder in the Mews,"Crime, Crime Fiction",3.78,20369,189,66.33,Agatha Christie
216,Marple: Twelve New Mysteries,"Anthologies (non-poetry), Crime, Crime Fiction, Historical Crime, Short Story Books",3.85,4695,480,109.43,Agatha Christie
218,Hercule Poirot: The Complete Short Stories,"Crime, Crime Fiction, Vintage Crime, Short Story Books",4.33,8447,896,102.82,Agatha Christie
219,Postern of Fate : A Tommy & Tuppence Mystery,"Fiction Books, Crime, Crime Fiction, Vintage Crime, Thriller Books, Thrillers",3.2,11604,336,47.84,Agatha Christie
220,By the Pricking of My Thumbs : A Tommy & Tuppence Mystery,"Classic Books & Novels, Crime, Crime Fiction, Vintage Crime, Thriller Books, Thrillers, Adventure Books",3.76,19568,304,47.63,Agatha Christie
221,The Labours of Hercules,"Contemporary Fiction, Crime, Crime Fiction",3.77,23438,467,122.03,Agatha Christie
222,The Unexpected Guest,"Theatre Studies, Plays, Playscripts",3.84,4709,100,80.44,Agatha Christie
223,N or M? : A Tommy & Tuppence Mystery,"Crime, Crime Fiction, Vintage Crime, Thriller Books, Thrillers",3.79,22716,248,61.41,Agatha Christie
224,The Secret of Chimneys,"Fiction Books, Crime, Crime Fiction, Vintage Crime, Historical Crime, Science Fiction",3.85,22813,200,61.68,Agatha Christie
225,They Came to Baghdad,"Crime, Crime Fiction",3.83,19125,256,113.57,Agatha Christie
226,The Clocks,"Vintage Crime, Vintage Crime",3.73,31090,400,65.58,Agatha Christie
227,Problem at Pollensa Bay,"Crime, Crime Fiction, Vintage Crime, Short Story Books",3.54,3940,240,46.74,Agatha Christie
